search_key;kik_filename;kik_path;court_filename;court_path;normalized_position;match_status
2006UMZ3231;2006.12.25_KIK_2006-UM.Z-3231.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UM.Z-3231.pdf;2007.07.20_IDARE_2007_MK-86.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.20_IDARE_2007_MK-86.pdf;220;EXACT_FILENAME_KEY_MATCH
2007UHZ635;2007.02.19_KIK_2007-UH.Z-635.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.19_KIK_2007-UH.Z-635.pdf;2007.07.24_IDARE_2007_MK-87.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.24_IDARE_2007_MK-87.pdf;220;EXACT_FILENAME_KEY_MATCH
2007UHZ124;2007.01.15_KIK_2007-UH.Z-124.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-124.pdf;2007.07.30_IDARE_2007_MK-88.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.30_IDARE_2007_MK-88.pdf;238;EXACT_FILENAME_KEY_MATCH
2007UHZ1244;2007.04.09_KIK_2007-UH.Z-1244.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.04.09_KIK_2007-UH.Z-1244.pdf;2007.07.30_IDARE_2007_MK-88.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.30_IDARE_2007_MK-88.pdf;238;EXACT_FILENAME_KEY_MATCH
2007UYZ11;2007.01.08_KIK_2007-UY.Z-11.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UY.Z-11.pdf;2007.07.30_IDARE_2007_MK-89.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.30_IDARE_2007_MK-89.pdf;201;EXACT_FILENAME_KEY_MATCH
2007UYZ1141;2007.03.26_KIK_2007-UY.Z-1141.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.26_KIK_2007-UY.Z-1141.pdf;2007.07.30_IDARE_2007_MK-89.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.30_IDARE_2007_MK-89.pdf;201;EXACT_FILENAME_KEY_MATCH
2007UHZ171;2007.01.22_KIK_2007-UH.Z-171.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.22_KIK_2007-UH.Z-171.pdf;2007.08.20_IDARE_2007_MK-94.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.20_IDARE_2007_MK-94.pdf;224;EXACT_FILENAME_KEY_MATCH
2007UHZ1719;2007.05.21_KIK_2007-UH.Z-1719.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.05.21_KIK_2007-UH.Z-1719.pdf;2007.08.20_IDARE_2007_MK-94.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.20_IDARE_2007_MK-94.pdf;224;EXACT_FILENAME_KEY_MATCH
2006UMZ3139;2006.12.11_KIK_2006-UM.Z-3139.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.11_KIK_2006-UM.Z-3139.pdf;2007.08.20_IDARE_2007_MK-95.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.20_IDARE_2007_MK-95.pdf;253;EXACT_FILENAME_KEY_MATCH
2007UHZ41;2007.01.08_KIK_2007-UH.Z-41.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UH.Z-41.pdf;2007.08.27_IDARE_2007_MK-102.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-102.pdf;676;EXACT_FILENAME_KEY_MATCH
2007UHZ419;2007.02.05_KIK_2007-UH.Z-419.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.05_KIK_2007-UH.Z-419.pdf;2007.08.27_IDARE_2007_MK-102.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-102.pdf;676;EXACT_FILENAME_KEY_MATCH
2007UHZ124;2007.01.15_KIK_2007-UH.Z-124.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-124.pdf;2007.08.27_IDARE_2007_MK-103.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-103.pdf;256;EXACT_FILENAME_KEY_MATCH
2007UHZ1245;2007.04.09_KIK_2007-UH.Z-1245.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.04.09_KIK_2007-UH.Z-1245.pdf;2007.08.27_IDARE_2007_MK-103.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-103.pdf;256;EXACT_FILENAME_KEY_MATCH
2007UYZ11;2007.01.08_KIK_2007-UY.Z-11.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UY.Z-11.pdf;2007.08.27_IDARE_2007_MK-99.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-99.pdf;290;EXACT_FILENAME_KEY_MATCH
2007UYZ1128;2007.03.22_KIK_2007-UY.Z-1128.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.22_KIK_2007-UY.Z-1128.pdf;2007.08.27_IDARE_2007_MK-99.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.08.27_IDARE_2007_MK-99.pdf;290;EXACT_FILENAME_KEY_MATCH
2006UYZ3282;2006.12.25_KIK_2006-UY.Z-3282.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UY.Z-3282.pdf;2007.09.24_IDARE_2007_MK-112.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.09.24_IDARE_2007_MK-112.pdf;139;EXACT_FILENAME_KEY_MATCH
